Brand name,Year of Establishment,Brand Origin,Model,Customer Name,Customer Address,Date of Sell,Postcode,Contact,Phone Number,Spec_1,Spec_2,Price
Hicks-Robertson,1981,French Southern Territories,Alison Benson,Mike Miller,"USCGC Stewart
FPO AP 54670",2020-06-26,86558,stephanie00@example.net,(829)484-6193,Spec_0 : WvQFzacNMs,Spec_1 : fETjioTVJp,5764354
Tate Group,1939,Gambia,Joseph Simmons,Emma Walsh,"6013 Bates Bypass Suite 246
North Anthony, UT 89151",2008-10-05,91865,bryan74@example.org,(631)377-9750x012,Spec_0 : hcWfnLiqzn,Spec_1 : YcVdNbpmHm,3753671
"Nunez, Williams and Perry",1936,Ecuador,Charles Arnold,Connie Williams,"608 Mary Locks Apt. 645
New Willieton, KY 00734",2011-12-28,81897,wnelson@example.org,370.785.9547x19099,Spec_0 : CUQOXRZCMX,Spec_1 : sMHTPEtKAn,2102498
Dillon-Shepherd,2007,Haiti,Michelle Escobar,Stephanie Avery,"3099 Lindsey Light
Sheltonstad, IN 65942",2006-10-21,64519,lisa42@example.org,(816)669-2349x90696,Spec_0 : vwCUGpqJHe,Spec_1 : harESIYhaD,4336480
Williams Group,2001,British Indian Ocean Territory (Chagos Archipelago),Catherine Dixon,Christopher Fuller,"48176 Johnny Lodge Suite 327
Lake Julie, LA 20942",2013-04-22,76455,whitney69@example.org,001-062-431-6205x013,Spec_0 : XCihIfHxBM,Spec_1 : SGkYTKthqk,8341726
Hodges-Leon,1919,Fiji,Michael Torres,Madison Andersen,"21553 Carrillo Causeway
Dakotastad, NH 94944",2016-04-05,07907,roweconnie@example.org,001-380-616-3318,Spec_0 : WAxbpuVRrs,Spec_1 : XNxWWBmCOs,2843777
"Keller, Gray and Evans",1922,Holy See (Vatican City State),Greg Ramirez,Matthew Gould,"7526 Yolanda Street
West Damon, DC 21305",2023-09-23,83119,william82@example.org,(725)321-5895,Spec_0 : VhZftyLqXH,Spec_1 : QJswkvhnUL,9614292
Vargas and Sons,1926,Saint Barthelemy,Susan Brown,Samantha Blake,"08634 Lewis Springs
Dustinville, MN 11623",2007-11-22,33132,nunezjulie@example.org,955.157.5031,Spec_0 : bGOngmXnvh,Spec_1 : XdwEWmNaiU,5680293
"Salazar, Thomas and Collins",2009,Turkmenistan,Angelica Shepherd,Hector Foley,"05689 Williams Spring Suite 368
Johnsonview, IL 26332",2018-03-02,89817,lucas42@example.org,317-166-9895x940,Spec_0 : cWicBkmYEP,Spec_1 : WErLpiyahG,6697404
"Downs, King and Sosa",1967,United Arab Emirates,Gary Morris,Christopher Rocha,"98593 Richard Well
Lake Tabithaport, ND 74978",2016-08-14,40508,aorozco@example.com,7656660640,Spec_0 : VPkBnOjDfO,Spec_1 : rbIaqXmJxD,1494169
